Company,Revenue ($B) USD[1],Profit ($B) USD[1],Employees[1],Country (origin),Headquarters
Amazon,$637.9,$59.2,"1,556,000",US,"Seattle, Washington & Arlington, Virginia, US"
Apple,$416.0,$112.0,"166,100",US,"Cupertino, California, US"
Alphabet,$350.0,$100.1,"190,167",US,"Mountain View, California, US"
Microsoft,$281.7,$101.8,"228,000",US,"Redmond, Washington, US"
Samsung Electronics,$220.3,$25.3,"270,372",South Korea,"Suwon, South Korea"
Foxconn,$213.9,$4.6,"767,062",Taiwan,"New Taipei City, Taiwan"
Meta,$164.5,$62.4,"78,450",US,"Menlo Park, California, US"
Jingdong,$158.8,$3.3,"620,000",China,"Beijing, China"
Alibaba,$137.3,$17.8,"124,320",China,"Hangzhou, China & George Town, Cayman Islands"
Nvidia,$130.5,$72.9,"36,000",US,"Sunnyvale, California, US"
AT&T,$122.3,$50.2,"140,990",US,"Dallas, Texas, US"
Huawei,$118.1,$8.5,"208,000",China,"Shenzhen, China"
Deutsche Telekom,$112.0,$9.0,"205,000",Germany,"Bonn, Germany"
Dell Technologies,$95.6,$4.6,"108,000",US,"Round Rock, Texas, US"
Tencent,$91.8,$27.3,"105,417",China,"Shenzhen, China"
Sony,$90.1,$6.7,"113,000",Japan,"Tokyo, Japan"
TSMC,$88.3,$35.3,"83,825",Taiwan,"New Taipei City, Taiwan"
Hitachi,$80.39,$3.8,"322,525",Japan,"Tokyo, Japan"
Lenovo,$69.0,$1.5,"72,000",Hong Kong/ US,"Hong Kong China/Morrisville, North Carolina, US[2]"
Accenture,$64.9,$7.4,"774,000",Ireland/ US,"Dublin, Ireland/New York, US"
IBM,$62.7,$6.0,"270,300",US,"Armonk, New York, US"
LG Electronics,$57.7,$1.3,"75,000",South Korea,"Seoul, South Korea"
Oracle,$57.4,$12.4,"162,000",US,"Austin, Texas, US"
Cisco,$56.7,$10.1,"86,200",US,"San Jose, California, US"
Panasonic,$55.3,$2.9,"228,420",Japan,"Kadoma, Osaka, Japan"
