Company,Revenue ($B) USD[4],Employees[4],Country (origin),Headquarters
Amazon,$574.8,"1,525,000",US,"Seattle, Washington & Arlington, Virginia, US"
Apple,$394.33,"164,000",US,"Cupertino, California, US"
Alphabet,$282.84,"190,234",US,"Mountain View, California, US"
Samsung Electronics,$234.13,"270,372",South Korea,"Suwon, South Korea"
Foxconn,$222.54,"767,062",Taiwan,"New Taipei City, Taiwan"
Microsoft,$198.27,"221,000",US,"Redmond, Washington, US"
Jingdong,$152.8,"310,000",China,"Beijing, China"
Alibaba,$130.35,"204,891",China Cayman Islands,"Hangzhou, China & George Town, Cayman Islands"
AT&T,$122.4,"149,900",US,"Dallas, Texas, US"
Meta,$116.61,"86,482",US,"Menlo Park, California, US"
Deutsche Telekom,$112.0,"205,000",Germany,"Bonn, Germany"
Dell Technologies,$102.30,"133,000",US,"Round Rock, Texas, US"
Huawei,$95.49,"207,000",China,"Shenzhen, China"
Sony,$85.25,"112,994",Japan,"Tokyo, Japan"
Tencent,$82.44,"108,436",China,"Shenzhen, China"
Hitachi,$80.39,"322,525",Japan,"Tokyo, Japan"
TSMC,$76.02,"73,090",Taiwan,"New Taipei City, Taiwan"
LG Electronics,$64.95,"74,000",South Korea,"Seoul, South Korea"
Intel,$63.05,"131,900",US,"Santa Clara, California, US"
HP Inc.,$62.98,"53,000",US,"Palo Alto, California, US"
Lenovo,$61.95,"71,500",Hong Kong/ US,"Hong Kong China/Morrisville, North Carolina, US[6]"
Panasonic,$61.90,"233,391",Japan,"Osaka, Japan"
Accenture,$61.59,"721,000",Ireland/ US,"Dublin, Ireland/New York, US"
Nvidia,$60.93,"29,600",US,"Santa Clara, California, US"
IBM,$60.53,"303,100",US,"Armonk, New York, US"
